id,name,total.over.15,male.over.15,male.college,male.grad,male.other,female.over.15,female.college,female.grad,female.other
45220,"Tallahassee, FL Metro Area",315746,151510,26917,1849,122744,164236,33473,2893,127870
11260,"Anchorage, AK Metro Area",312683,160247,10336,3021,146890,152436,13265,2611,136560
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",309493,151346,6739,3669,140938,158147,7869,4910,145368
15180,"Brownsville-Harlingen, TX Metro Area",308452,146287,9346,899,136042,162165,9581,1090,151494
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",307969,150388,8741,1788,139859,157581,11062,2173,144346
45940,"Trenton, NJ Metro Area",304819,147803,8198,7131,132474,157016,11248,7594,138174
37900,"Peoria, IL Metro Area",304782,147809,6214,3876,137719,156973,7992,5139,143842
21660,"Eugene, OR Metro Area",303921,148456,16945,854,130657,155465,18884,1483,135098
33860,"Montgomery, AL Metro Area",301210,141858,6668,2986,132204,159352,11649,3389,144314
11460,"Ann Arbor, MI Metro Area",300415,147593,32114,1978,113501,152822,31673,1995,119154
25860,"Hickory-Lenoir-Morganton, NC Metro Area",299041,146533,5874,1624,139035,152508,7721,2342,142445
42340,"Savannah, GA Metro Area",298697,143327,8526,4994,129807,155370,13963,7412,133995
26580,"Huntington-Ashland, WV-KY-OH Metro Area",297920,144716,7711,1104,135901,153204,11432,1159,140613
34940,"Naples-Immokalee-Marco Island, FL Metro Area",295770,144148,4424,2306,137418,151622,5013,2657,143952
22180,"Fayetteville, NC Metro Area",293741,142223,10337,3986,127900,151518,15465,4572,131481
36100,"Ocala, FL Metro Area",287596,136634,4328,1512,130794,150962,6707,2058,142197
40420,"Rockford, IL Metro Area",274071,133164,5752,1828,125584,140907,7977,3345,129585
28020,"Kalamazoo-Portage, MI Metro Area",271595,132095,16622,1321,114152,139500,19160,1953,118387
22660,"Fort Collins, CO Metro Area",269827,133609,18714,1372,113523,136218,20518,1929,113771
10380,"Aguadilla-Isabela, PR Metro Area",265558,128016,3922,4787,119307,137542,5018,7313,125211
38660,"Ponce, PR Metro Area",264278,125463,3674,7889,113900,138815,4220,9022,125573
14500,"Boulder, CO Metro Area",261600,130679,19406,1844,109429,130921,18114,3330,109477
43900,"Spartanburg, SC Metro Area",259568,124164,5039,2308,116817,135404,9090,3804,122510
40220,"Roanoke, VA Metro Area",259277,123558,5174,2462,115922,135719,6624,3828,125267
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",257305,124499,4783,1480,118236,132806,6318,2032,124456
43780,"South Bend-Mishawaka, IN-MI Metro Area",257221,123992,5445,6397,112150,133229,6702,7573,118954
30700,"Lincoln, NE Metro Area",256281,127940,16092,2737,109111,128341,17550,3455,107336
21780,"Evansville, IN-KY Metro Area",255380,123070,6971,1158,114941,132310,10081,1687,120542
24580,"Green Bay, WI Metro Area",252431,125196,6155,2002,117039,127235,8049,3289,115897
17980,"Columbus, GA-AL Metro Area",248345,122865,9461,1626,111778,125480,12805,2131,110544
46540,"Utica-Rome, NY Metro Area",244421,120813,5180,2758,112875,123608,6283,3744,113581
31180,"Lubbock, TX Metro Area",243793,119422,20871,1871,96680,124371,18435,2298,103638
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",236673,120239,18353,1069,100817,116434,16248,1041,99145
20260,"Duluth, MN-WI Metro Area",233419,117324,10190,1638,105496,116095,10951,2362,102782
23540,"Gainesville, FL Metro Area",232149,111824,26052,1024,84748,120325,28172,1520,90633
21500,"Erie, PA Metro Area",228792,111853,6316,3693,101844,116939,5708,5182,106049
48900,"Wilmington, NC Metro Area",227397,108940,10157,947,97836,118457,13212,1170,104075
35980,"Norwich-New London, CT Metro Area",227072,113262,5158,3616,104488,113810,5754,3788,104268
42100,"Santa Cruz-Watsonville, CA Metro Area",225761,111271,15487,1432,94352,114490,17335,1862,95293
12100,"Atlantic City-Hammonton, NJ Metro Area",224232,107281,6401,1493,99387,116951,8706,2220,106025
22900,"Fort Smith, AR-OK Metro Area",223763,109251,5603,632,103016,114512,6388,950,107174
